epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3634,1.05629,2.38854,1.37439,0.72239,0.60776,0.65967,0.42111,1.30726,2.13875,1.72242,0.000367989,0.000367989,0.000367989
2,151.519,1.06141,1.42919,1.31886,0.82622,0.8279,0.85583,0.5436,1.13994,1.27116,1.50392,0.000709085,0.000709085,0.000709085
3,219.821,1.06175,1.25867,1.32392,0.77667,0.70288,0.80932,0.49844,1.27102,1.43793,1.60873,0.00102085,0.00102085,0.00102085
4,288.576,1.0416,1.14973,1.2985,0.72967,0.73209,0.77874,0.57713,1.06207,1.3021,1.37124,0.000979013,0.000979013,0.000979013
5,353.49,1.00259,1.0077,1.27496,0.86974,0.53602,0.79986,0.59224,0.99823,2.2574,1.32661,0.000935018,0.000935018,0.000935018
6,421.989,0.96417,0.93433,1.2535,0.88089,0.80488,0.88567,0.63834,0.97464,0.8716,1.30746,0.000891022,0.000891022,0.000891022
7,490.688,0.94979,0.89914,1.23461,0.93423,0.80621,0.93379,0.69189,0.9336,0.92359,1.29576,0.000847026,0.000847026,0.000847026
8,560.456,0.91355,0.81672,1.21284,0.81457,0.74044,0.81796,0.59742,0.97042,1.03604,1.33291,0.000803031,0.000803031,0.000803031
9,629.731,0.91277,0.82007,1.22107,0.80343,0.89451,0.89951,0.67243,0.84187,0.68411,1.21611,0.000759035,0.000759035,0.000759035
10,698.834,0.88586,0.76338,1.19776,0.90588,0.83788,0.91949,0.70818,0.83234,0.74178,1.2038,0.00071504,0.00071504,0.00071504
11,769.162,0.85278,0.72282,1.18248,0.96305,0.90123,0.96278,0.6846,1.01422,0.56117,1.36711,0.000671044,0.000671044,0.000671044
12,836.455,0.85694,0.6977,1.17922,0.94101,0.76515,0.88516,0.6695,0.99511,1.01564,1.31744,0.000627048,0.000627048,0.000627048
13,907.348,0.82333,0.66874,1.15769,0.86003,0.89244,0.95494,0.73622,0.84155,0.62347,1.22433,0.000583053,0.000583053,0.000583053
14,975.624,0.80751,0.65085,1.15432,0.89346,0.8019,0.9457,0.7369,0.84163,0.62934,1.20567,0.000539057,0.000539057,0.000539057
15,1044.56,0.79489,0.62031,1.14049,0.93772,0.77388,0.91891,0.7135,0.82896,0.82204,1.22214,0.000495062,0.000495062,0.000495062
16,1115.12,0.722,0.56509,1.11246,0.88793,0.81781,0.91485,0.70129,0.94144,1.00459,1.26662,0.000451066,0.000451066,0.000451066
17,1176.22,0.69983,0.53663,1.10848,0.94181,0.8681,0.94596,0.72478,0.86331,0.5884,1.21016,0.00040707,0.00040707,0.00040707
18,1239.98,0.68149,0.48577,1.09638,0.96317,0.90682,0.95836,0.74588,0.82618,0.47897,1.20774,0.000363075,0.000363075,0.000363075
19,1306.36,0.66679,0.47653,1.08399,0.94246,0.92457,0.96332,0.71364,0.88668,0.52283,1.22982,0.000319079,0.000319079,0.000319079
20,1371.25,0.65258,0.45297,1.0738,0.96251,0.8616,0.93303,0.75326,0.77105,0.65319,1.16641,0.000275084,0.000275084,0.000275084
21,1438.7,0.63651,0.44204,1.06532,0.94049,0.88001,0.96387,0.75909,0.78696,0.45401,1.13634,0.000231088,0.000231088,0.000231088
22,1504.34,0.61248,0.41536,1.04084,0.91915,0.85806,0.95395,0.76145,0.80234,0.60922,1.17045,0.000187092,0.000187092,0.000187092
23,1570.79,0.59941,0.41155,1.03812,0.93003,0.89539,0.96395,0.77007,0.77289,0.50794,1.13787,0.000143097,0.000143097,0.000143097
24,1637.62,0.58457,0.38187,1.02728,0.96551,0.86644,0.96319,0.77523,0.75029,0.47035,1.12953,9.91012e-05,9.91012e-05,9.91012e-05
25,1702.57,0.56858,0.3693,1.0252,0.93169,0.89891,0.96406,0.78284,0.73986,0.44823,1.12309,5.51056e-05,5.51056e-05,5.51056e-05
