epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3514,0.93439,2.31766,1.23955,0.01642,0.99254,0.77827,0.55561,0.81562,2.26556,1.08823,0.0004,0.0004,0.0004
2,28.0308,0.94149,1.37895,1.22273,0.84698,0.53731,0.72933,0.49385,1.00827,1.97073,1.23579,0.000787528,0.000787528,0.000787528
3,36.2547,0.93898,1.15827,1.21816,0.71462,0.67275,0.76742,0.49307,1.07975,1.71994,1.37473,0.00114179,0.00114179,0.00114179
4,49.8777,0.97287,1.08411,1.1961,0.72967,0.70502,0.749,0.44241,1.27039,1.41643,1.57237,0.00146279,0.00146279,0.00146279
5,57.7515,0.94333,1.051,1.21053,0.7553,0.80621,0.86798,0.58587,1.13516,1.14324,1.4212,0.0016832,0.0016832,0.0016832
6,71.1807,0.97307,0.98385,1.20182,0.79686,0.67332,0.75798,0.51336,1.11542,1.44703,1.44086,0.001604,0.001604,0.001604
7,79.267,0.9393,0.94216,1.19782,0.6507,0.61194,0.66595,0.38633,1.34118,1.65285,1.65758,0.0015248,0.0015248,0.0015248
8,91.3515,0.90786,0.91158,1.18245,0.83479,0.86728,0.89483,0.6124,1.03786,0.99421,1.32369,0.0014456,0.0014456,0.0014456
9,99.3152,0.88796,0.88406,1.17282,0.82249,0.6194,0.69594,0.44935,1.16321,1.42304,1.36535,0.0013664,0.0013664,0.0013664
10,112.013,0.86747,0.82657,1.16283,0.81009,0.76866,0.86726,0.60527,1.03415,0.99314,1.23641,0.0012872,0.0012872,0.0012872
11,120.222,0.85757,0.79017,1.14973,0.80961,0.79104,0.86155,0.64156,0.90771,0.93933,1.19616,0.001208,0.001208,0.001208
12,132.736,0.85883,0.76819,1.14116,0.8406,0.8209,0.89677,0.65915,0.91646,0.86067,1.18817,0.0011288,0.0011288,0.0011288
13,140.915,0.85383,0.76427,1.12934,0.90145,0.81913,0.91163,0.66979,0.94903,0.80155,1.2228,0.0010496,0.0010496,0.0010496
14,152.656,0.82708,0.70237,1.12514,0.87872,0.87313,0.91921,0.69831,0.85843,0.72798,1.15615,0.0009704,0.0009704,0.0009704
15,161.687,0.80731,0.70636,1.11561,0.81518,0.88872,0.90535,0.65971,0.94944,0.819,1.1931,0.0008912,0.0008912,0.0008912
16,176.984,0.75089,0.71774,1.06955,0.82403,0.94358,0.91771,0.67513,0.94757,0.77124,1.17465,0.000812,0.000812,0.000812
17,184.694,0.71999,0.68988,1.02718,0.82492,0.93284,0.91837,0.69903,0.87608,0.69278,1.13043,0.0007328,0.0007328,0.0007328
18,196.339,0.714,0.63897,1.02627,0.86209,0.88638,0.92615,0.6967,0.88759,0.71391,1.15224,0.0006536,0.0006536,0.0006536
19,205.174,0.70365,0.62918,1.0288,0.90883,0.89267,0.9351,0.71122,0.85443,0.65804,1.13889,0.0005744,0.0005744,0.0005744
20,214.893,0.68715,0.61242,1.03095,0.90845,0.88859,0.94616,0.70261,0.95716,0.64778,1.20525,0.0004952,0.0004952,0.0004952
21,225.135,0.69203,0.61219,1.02343,0.87905,0.89552,0.92927,0.71823,0.80949,0.66465,1.11396,0.000416,0.000416,0.000416
22,233.91,0.6643,0.56054,1.01052,0.88688,0.87765,0.93165,0.73042,0.81446,0.66045,1.10165,0.0003368,0.0003368,0.0003368
23,245.075,0.62801,0.53516,0.99458,0.90377,0.91115,0.93574,0.73673,0.81389,0.61546,1.10669,0.0002576,0.0002576,0.0002576
24,253.199,0.61724,0.51821,0.98544,0.90928,0.89757,0.94118,0.7476,0.79752,0.57611,1.08992,0.0001784,0.0001784,0.0001784
25,265.123,0.61883,0.50617,0.97875,0.90544,0.90299,0.94469,0.74924,0.78158,0.56844,1.07283,9.92e-05,9.92e-05,9.92e-05
