epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.415,1.42991,2.07702,1.58358,0.19116,0.37144,0.16374,0.0652,2.26833,4.92938,2.65911,0.0701261,0.00331933,0.00331933
2,173.532,1.48809,1.76256,1.61806,0.66567,0.3735,0.47097,0.25358,1.61686,3.35404,1.87205,0.0400382,0.00656485,0.00656485
3,256.333,1.42911,1.64451,1.56636,0.59151,0.54943,0.55331,0.29737,1.57542,2.18984,1.7351,0.00986242,0.00972236,0.00972236
4,338.911,1.37625,1.5238,1.51375,0.606,0.57429,0.60068,0.3539,1.51827,2.18591,1.70733,0.009604,0.009604,0.009604
5,422.94,1.31018,1.40118,1.47032,0.62766,0.59222,0.60383,0.3391,1.6001,1.65459,1.68686,0.009472,0.009472,0.009472
6,505.064,1.29648,1.35004,1.458,0.4733,0.6113,0.52572,0.34497,1.21356,2.40092,1.49967,0.00934,0.00934,0.00934
7,586.95,1.26753,1.2773,1.43602,0.71115,0.73346,0.78571,0.51712,1.24665,1.0916,1.45741,0.009208,0.009208,0.009208
8,669.341,1.24655,1.19615,1.42014,0.73499,0.71835,0.77737,0.48671,1.32763,1.16277,1.50974,0.009076,0.009076,0.009076
9,751.371,1.22741,1.16812,1.40056,0.74682,0.7732,0.8021,0.49809,1.37066,1.09761,1.50547,0.008944,0.008944,0.008944
10,833.949,1.18856,1.09252,1.37631,0.82113,0.74801,0.83687,0.53039,1.33735,0.98512,1.4934,0.008812,0.008812,0.008812
11,914.743,1.20406,1.10538,1.39481,0.67112,0.79663,0.8163,0.51993,1.30204,1.07019,1.48113,0.00868,0.00868,0.00868
12,995.8,1.19449,1.09375,1.3823,0.76685,0.79393,0.8298,0.52395,1.31916,1.02256,1.48377,0.008548,0.008548,0.008548
13,1077.59,1.16683,1.04306,1.36214,0.81311,0.79089,0.85343,0.54087,1.2768,0.93762,1.43189,0.008416,0.008416,0.008416
14,1159.25,1.16038,1.00364,1.35819,0.79727,0.74831,0.83185,0.53627,1.31105,0.97807,1.50769,0.008284,0.008284,0.008284
15,1240.69,1.14588,0.98343,1.34303,0.78996,0.80866,0.83592,0.56777,1.15243,0.92856,1.39297,0.008152,0.008152,0.008152
16,1322.21,1.13209,0.97608,1.33479,0.82432,0.8254,0.85717,0.59155,1.1178,0.85048,1.36317,0.00802,0.00802,0.00802
17,1404.37,1.13798,0.94735,1.34401,0.86561,0.79247,0.89309,0.53132,1.4297,0.88733,1.52972,0.007888,0.007888,0.007888
18,1486.51,1.11259,0.94271,1.32511,0.818,0.80121,0.86453,0.5814,1.1884,0.87617,1.37228,0.007756,0.007756,0.007756
19,1568.6,1.10487,0.90704,1.32115,0.77688,0.85563,0.88693,0.59411,1.18324,0.87396,1.36607,0.007624,0.007624,0.007624
20,1650.75,1.10043,0.9029,1.31997,0.77812,0.80389,0.84925,0.56506,1.20425,0.90957,1.39401,0.007492,0.007492,0.007492
21,1733.27,1.08817,0.89198,1.30787,0.78808,0.84601,0.87358,0.59476,1.18985,0.85973,1.36685,0.00736,0.00736,0.00736
22,1814.84,1.08724,0.88699,1.29807,0.84376,0.82105,0.87578,0.61022,1.09958,0.79335,1.32347,0.007228,0.007228,0.007228
23,1897.1,1.09454,0.86108,1.30587,0.83965,0.85413,0.87184,0.6066,1.10232,0.79836,1.32765,0.007096,0.007096,0.007096
24,1979.07,1.07595,0.85011,1.29507,0.87116,0.84152,0.89588,0.59401,1.22086,0.77104,1.39981,0.006964,0.006964,0.006964
25,2060.14,1.0559,0.84799,1.28719,0.84393,0.7964,0.87257,0.61828,1.05275,0.82056,1.28587,0.006832,0.006832,0.006832
26,2140.11,1.05346,0.84891,1.29068,0.8352,0.83449,0.89677,0.65558,0.98461,0.77997,1.26415,0.0067,0.0067,0.0067
27,2222.24,1.05158,0.80629,1.27628,0.8277,0.85588,0.8899,0.60633,1.10602,0.76504,1.34558,0.006568,0.006568,0.006568
28,2306.05,1.02723,0.79531,1.26511,0.86927,0.84357,0.90326,0.63321,1.07424,0.72476,1.29159,0.006436,0.006436,0.006436
29,2388.48,1.01138,0.77543,1.25642,0.86173,0.87813,0.92316,0.65516,1.02321,0.66909,1.28354,0.006304,0.006304,0.006304
30,2471.31,0.99997,0.78812,1.2569,0.88341,0.83356,0.90666,0.65763,0.99595,0.69014,1.24391,0.006172,0.006172,0.006172
31,2553.38,0.98998,0.77486,1.25795,0.87641,0.88344,0.9248,0.68335,0.93658,0.6554,1.23295,0.00604,0.00604,0.00604
